TraderName,InitIncome,InitShares,OpProb,SellProb,Income,Shares,Wealth,NbSellSuccess,NbSellFailures,NbBuySuccess,NbBuyFailures
trader1,10.00,10,0.67,0.34,1.00,0,1.00,516,380,573,467
trader3,10.00,10,0.02,0.07,0.91,22,11.02,5,5,14,8
trader2,10.00,10,0.62,0.16,1.38,3,2.76,436,235,539,457
trader5,10.00,10,0.58,0.13,1.63,1,2.09,357,190,441,402
trader4,10.00,10,0.65,0.96,12.95,0,12.95,207,147,139,62
trader65,10.00,10,0.53,0.89,18.15,0,18.15,631,340,448,165
trader7,10.00,10,0.42,0.32,3.36,17,11.17,528,303,612,390
trader64,10.00,10,0.26,0.51,10.58,14,17.01,527,242,546,269
trader6,10.00,10,0.77,0.20,1.23,2,2.15,531,348,632,526
trader9,10.00,10,0.50,0.77,5.10,1,5.56,669,488,583,259
trader67,10.00,10,0.41,0.28,2.47,1,2.93,506,257,554,405
trader66,10.00,10,0.26,0.96,21.91,0,21.91,79,44,46,30
trader8,10.00,10,0.51,0.23,0.54,32,15.24,569,268,709,494
trader61,10.00,10,0.46,0.32,0.20,13,6.17,560,321,643,441
trader60,10.00,10,0.40,0.88,31.15,0,31.15,433,265,340,119
trader63,10.00,10,0.00,0.18,8.88,11,13.93,0,0,1,0
trader62,10.00,10,0.38,0.85,15.41,0,15.41,404,279,352,144
trader69,10.00,10,0.82,0.65,2.05,0,2.05,1062,683,888,499
trader68,10.00,10,0.71,0.36,0.98,0,0.98,687,500,747,563
trader70,10.00,10,0.73,0.80,5.45,0,5.45,837,558,651,316
ma_trader10,10.00,10,0.00,0.56,0.96,21,10.61,7,2,8,11
trader76,10.00,10,0.10,0.96,17.27,0,17.27,50,23,22,11
trader75,10.00,10,0.15,0.31,0.41,11,5.46,232,124,254,133
trader78,10.00,10,0.95,0.29,0.98,0,0.98,604,414,744,634
trader77,10.00,10,0.34,0.78,31.18,6,33.93,580,344,479,171
trader72,10.00,10,0.35,0.46,2.55,13,8.52,521,346,524,357
trader71,10.00,10,0.80,0.73,2.00,0,2.00,862,575,667,409
trader74,10.00,10,0.31,0.09,0.89,30,14.67,155,64,220,150
trader73,10.00,10,0.40,0.58,4.07,10,8.66,829,464,810,356
trader79,10.00,10,0.00,0.16,4.25,17,12.06,1,2,4,6
trader43,10.00,10,0.98,0.85,5.63,0,5.63,828,572,617,326
trader42,10.00,10,0.44,0.31,0.90,0,0.90,382,249,433,335
trader45,10.00,10,0.86,0.09,0.77,5,3.06,262,179,398,323
trader44,10.00,10,0.61,0.20,0.50,2,1.42,474,286,555,478
trader41,10.00,10,0.59,0.47,0.98,2,1.89,807,541,779,514
trader40,10.00,10,0.73,0.36,2.60,0,2.60,1047,581,1136,668
trader47,10.00,10,0.69,0.62,1.32,0,1.32,848,585,702,457
trader46,10.00,10,0.13,0.64,7.75,0,7.75,252,154,217,88
trader49,10.00,10,0.96,0.48,2.43,1,2.89,1487,866,1412,859
trader48,10.00,10,0.38,0.51,9.82,0,9.82,684,424,699,348
trader54,10.00,10,0.66,0.31,1.83,0,1.83,681,464,783,622
trader53,10.00,10,0.42,0.72,10.64,3,12.02,667,402,563,260
trader56,10.00,10,0.58,0.08,1.27,6,4.03,243,102,388,249
trader55,10.00,10,0.66,0.73,1.26,0,1.26,628,534,495,321
trader50,10.00,10,0.15,0.26,7.74,59,34.85,182,92,304,144
trader52,10.00,10,0.76,0.64,1.14,2,2.06,896,681,764,456
trader51,10.00,10,0.09,0.16,1.78,28,14.65,108,36,168,102
trader58,10.00,10,0.70,1.00,19.61,0,19.61,30,16,20,5
trader57,10.00,10,0.68,0.55,1.74,0,1.74,864,557,782,519
trader59,10.00,10,0.74,0.35,1.39,4,3.22,813,556,914,707
trader21,10.00,10,0.41,0.22,0.58,21,10.22,423,213,602,384
trader20,10.00,10,0.92,0.65,3.33,0,3.33,970,753,808,536
trader23,10.00,10,0.35,0.58,6.31,0,6.31,565,378,553,296
trader22,10.00,10,0.31,0.80,14.46,0,14.46,449,275,385,160
trader29,10.00,10,0.26,0.41,17.30,0,17.30,553,236,659,296
trader28,10.00,10,0.17,0.20,0.64,21,10.29,158,64,193,109
trader25,10.00,10,0.01,0.01,0.43,20,9.62,0,1,4,1
trader24,10.00,10,0.06,0.80,6.40,53,30.75,73,60,60,26
trader27,10.00,10,0.03,0.64,6.19,30,19.97,64,38,56,18
trader26,10.00,10,0.72,0.89,2.99,0,2.99,442,288,298,152
ma_trader5,10.00,10,0.10,0.99,0.77,19,9.50,5,0,11,10
ma_trader6,10.00,10,0.38,0.85,0.95,22,11.06,4,0,17,23
ma_trader7,10.00,10,0.66,0.46,0.61,22,10.72,5,3,9,3
ma_trader8,10.00,10,0.93,0.47,0.71,20,9.89,5,6,11,5
ma_trader1,10.00,10,0.27,0.65,0.45,21,10.09,7,4,13,8
ma_trader2,10.00,10,0.93,0.88,0.81,21,10.46,4,0,8,10
ma_trader3,10.00,10,0.71,0.53,0.88,19,9.61,4,8,10,7
ma_trader4,10.00,10,0.33,0.21,0.71,19,9.44,5,2,6,14
trader32,10.00,10,0.22,0.56,14.22,0,14.22,437,231,447,206
trader31,10.00,10,0.31,0.65,6.46,0,6.46,537,356,456,200
trader34,10.00,10,0.94,0.75,1.89,0,1.89,1163,815,955,473
trader33,10.00,10,0.84,0.01,0.51,14,6.95,46,18,84,76
trader30,10.00,10,0.94,0.98,6.83,0,6.83,145,139,102,43
trader39,10.00,10,0.26,0.84,7.98,0,7.98,312,181,230,115
trader36,10.00,10,0.85,0.29,1.00,0,1.00,703,496,772,660
trader35,10.00,10,0.51,0.23,5.00,16,12.35,675,265,874,489
trader38,10.00,10,0.89,0.46,0.98,0,0.98,897,560,891,591
trader37,10.00,10,0.81,0.56,2.13,0,2.13,878,661,749,583
trader81,10.00,10,0.60,0.71,1.69,0,1.69,805,531,662,346
trader80,10.00,10,0.31,0.62,59.97,118,114.18,1113,368,1159,273
trader87,10.00,10,0.79,0.70,1.57,0,1.57,912,616,750,437
trader86,10.00,10,0.28,0.18,0.67,12,6.18,286,124,397,258
trader89,10.00,10,0.93,0.03,0.74,10,5.33,167,69,251,195
trader88,10.00,10,0.15,0.13,1.68,21,11.33,88,59,120,110
trader83,10.00,10,0.20,0.04,0.56,16,7.91,55,22,101,90
trader82,10.00,10,0.17,0.10,1.62,9,5.75,106,50,165,119
trader85,10.00,10,0.16,0.75,13.46,0,13.46,273,146,208,99
trader84,10.00,10,0.91,0.10,1.44,4,3.28,428,257,602,473
trader90,10.00,10,0.46,0.65,2.59,2,3.51,774,462,693,364
ma_trader9,10.00,10,0.31,0.25,0.52,21,10.17,5,0,11,7
trader10,10.00,10,0.65,0.48,1.00,0,1.00,784,524,703,496
trader12,10.00,10,0.97,0.17,0.95,0,0.95,503,292,657,547
trader11,10.00,10,0.55,0.71,2.93,4,4.77,883,586,770,344
trader18,10.00,10,0.55,0.25,1.53,8,5.20,568,304,750,503
trader17,10.00,10,0.71,0.49,1.57,0,1.57,853,671,836,611
trader19,10.00,10,0.05,0.23,5.29,43,25.05,86,25,107,52
trader14,10.00,10,0.76,0.56,7.58,5,9.88,1410,829,1399,693
trader13,10.00,10,0.32,0.24,0.56,15,7.45,332,168,425,292
trader16,10.00,10,0.26,0.29,1.35,22,11.46,352,179,447,285
trader15,10.00,10,0.68,0.04,0.53,15,7.42,129,61,214,176
