TraderName,InitIncome,InitShares,OpProb,SellProb,Income,Shares,Wealth,NbSellSuccess,NbSellFailures,NbBuySuccess,NbBuyFailures
trader1,10.00,10,0.23,0.25,14.41,11,25.23,400,143,497,312
trader3,10.00,10,0.17,0.88,26.92,0,26.92,121,83,83,57
trader2,10.00,10,0.28,0.68,1.60,0,1.60,148,120,125,132
trader5,10.00,10,0.95,0.04,2.64,10,12.48,258,92,435,400
trader4,10.00,10,0.65,0.42,5.28,2,7.25,551,355,539,576
trader65,10.00,10,0.63,0.25,2.06,4,6.00,535,351,636,639
trader7,10.00,10,0.45,0.65,25.29,24,48.91,796,439,676,367
trader64,10.00,10,0.72,0.65,2.93,0,2.93,717,456,640,481
trader6,10.00,10,0.94,0.77,2.48,0,2.48,472,392,407,356
trader9,10.00,10,0.12,0.26,6.41,1,7.39,118,67,133,123
trader8,10.00,10,0.94,0.35,1.33,1,2.32,855,541,876,835
trader61,10.00,10,0.28,0.02,0.49,22,22.13,28,15,52,93
trader60,10.00,10,0.74,0.77,2.99,0,2.99,456,358,390,333
trader63,10.00,10,0.64,0.95,9.63,0,9.63,174,122,126,76
trader62,10.00,10,0.43,0.13,14.46,3,17.42,348,136,496,398
ma_trader16,10.00,10,0.18,0.77,0.22,11,11.04,6,3,10,30
ma_trader17,10.00,10,0.37,0.75,0.99,17,17.71,5,3,10,4
ma_trader14,10.00,10,0.16,0.04,0.03,23,22.66,6,4,12,25
ma_trader15,10.00,10,0.29,0.84,0.87,24,24.48,6,6,11,9
ma_trader12,10.00,10,0.39,0.30,0.14,21,20.80,10,5,10,5
ma_trader13,10.00,10,0.70,0.83,0.97,18,18.69,6,5,11,8
ma_trader10,10.00,10,0.89,0.57,0.63,16,16.38,5,0,9,10
ma_trader11,10.00,10,0.98,0.80,0.75,21,21.42,10,5,12,11
trader43,10.00,10,0.22,0.34,4.07,4,8.01,246,151,224,221
trader42,10.00,10,0.29,0.73,28.48,4,32.42,409,248,309,182
trader45,10.00,10,0.36,0.75,6.28,0,6.28,366,242,314,194
trader44,10.00,10,0.98,0.28,3.83,1,4.81,743,578,820,841
trader41,10.00,10,0.17,0.03,0.64,12,12.44,34,8,48,44
trader40,10.00,10,0.55,1.00,20.75,0,20.75,5,2,1,4
trader47,10.00,10,0.15,0.88,32.32,0,32.32,98,74,78,38
trader46,10.00,10,0.03,0.09,1.74,11,12.57,24,6,34,10
trader49,10.00,10,0.66,0.89,6.30,1,7.29,336,237,281,165
trader48,10.00,10,0.52,0.59,2.07,0,2.07,517,359,460,320
trader54,10.00,10,0.69,0.58,3.01,0,3.01,529,397,439,394
trader53,10.00,10,0.07,0.38,14.07,26,39.65,167,56,189,86
trader56,10.00,10,0.76,0.37,0.63,1,1.61,489,349,500,552
trader55,10.00,10,0.16,0.94,27.58,0,27.58,66,37,43,29
trader50,10.00,10,0.67,0.81,3.02,0,3.02,225,218,199,235
trader52,10.00,10,0.20,0.23,5.82,13,18.61,223,113,278,206
trader51,10.00,10,0.21,0.10,0.86,11,11.68,150,47,189,166
trader58,10.00,10,0.07,0.75,24.34,14,38.11,142,81,105,52
trader57,10.00,10,0.87,0.60,1.35,3,4.30,617,490,563,533
trader59,10.00,10,0.74,0.15,3.18,1,4.16,449,253,580,571
trader21,10.00,10,0.89,0.32,3.81,0,3.81,596,457,637,669
trader20,10.00,10,0.27,0.69,8.38,0,8.38,461,279,395,200
trader23,10.00,10,0.46,0.65,2.61,0,2.61,325,220,288,253
trader22,10.00,10,0.54,0.88,9.06,0,9.06,343,251,278,147
trader29,10.00,10,0.93,0.54,2.21,0,2.21,775,585,698,703
trader28,10.00,10,0.49,0.28,2.64,10,12.48,413,258,477,436
trader25,10.00,10,0.57,0.59,10.41,15,25.17,993,579,912,571
trader24,10.00,10,0.38,0.49,2.18,1,3.17,478,276,468,377
trader27,10.00,10,0.25,0.85,16.76,5,21.68,218,147,176,81
trader26,10.00,10,0.02,0.04,0.84,15,15.60,1,3,5,4
ma_trader5,10.00,10,0.68,0.43,0.53,18,18.24,5,0,10,2
ma_trader6,10.00,10,0.39,0.79,0.95,23,23.58,8,2,11,5
ma_trader7,10.00,10,0.82,0.13,0.43,17,17.16,7,3,7,11
ma_trader8,10.00,10,0.90,0.74,0.73,21,21.40,7,4,17,14
ma_trader1,10.00,10,0.08,0.50,0.22,26,25.80,8,9,11,12
ma_trader2,10.00,10,0.33,0.30,0.40,19,19.09,6,3,10,12
ma_trader3,10.00,10,0.11,0.10,0.91,17,17.64,10,14,11,21
ma_trader4,10.00,10,0.59,0.70,0.41,11,11.24,5,5,10,24
trader32,10.00,10,0.83,0.92,6.41,0,6.41,253,225,195,146
trader31,10.00,10,0.06,0.69,56.15,15,70.91,141,51,110,54
trader34,10.00,10,0.27,0.12,0.44,16,16.18,177,77,250,213
trader33,10.00,10,0.87,0.98,14.01,0,14.01,77,43,47,26
trader30,10.00,10,0.60,0.26,3.47,0,3.47,549,346,641,542
trader39,10.00,10,0.09,0.61,4.53,13,17.32,186,104,171,73
trader36,10.00,10,0.46,0.43,2.49,0,2.49,576,370,578,444
trader35,10.00,10,0.22,0.27,1.68,28,29.23,328,144,405,270
trader38,10.00,10,0.38,0.91,20.44,0,20.44,189,118,135,91
trader37,10.00,10,0.35,0.67,53.06,2,55.03,673,401,618,267
ma_trader27,10.00,10,0.62,0.27,0.64,27,27.20,3,4,11,4
ma_trader28,10.00,10,0.08,0.25,0.97,23,23.60,8,3,9,11
ma_trader25,10.00,10,0.93,0.32,0.76,22,22.41,5,4,16,22
