TraderName,InitIncome,InitShares,OpProb,SellProb,Income,Shares,Wealth,NbSellSuccess,NbSellFailures,NbBuySuccess,NbBuyFailures
trader1,10.00,10,0.60,0.10,4.95,9,40.84,237,152,273,310
trader3,10.00,10,0.50,0.62,7.03,0,7.03,147,170,138,179
trader2,10.00,10,0.37,0.25,4.51,12,52.36,379,248,410,423
trader5,10.00,10,0.84,0.10,3.68,6,27.60,214,215,255,374
trader4,10.00,10,0.36,0.42,78.39,42,245.86,697,408,627,509
trader7,10.00,10,0.90,0.81,6.60,0,6.60,82,97,72,112
trader6,10.00,10,0.89,0.03,2.12,4,18.07,106,63,158,222
trader9,10.00,10,0.49,0.03,4.46,13,56.30,50,28,72,122
trader8,10.00,10,0.47,1.00,23.52,0,23.52,9,3,5,6
ma_trader16,10.00,10,0.94,0.49,0.36,19,76.12,7,1,9,22
ma_trader17,10.00,10,0.73,0.89,1.25,5,21.18,3,7,10,42
ma_trader14,10.00,10,0.37,0.35,0.50,50,199.87,7,1,18,8
ma_trader15,10.00,10,0.76,0.02,1.24,6,25.16,5,13,5,13
ma_trader12,10.00,10,0.03,0.78,1.43,43,172.89,6,3,15,27
ma_trader13,10.00,10,0.92,0.87,0.55,14,56.37,10,2,11,6
ma_trader10,10.00,10,0.59,0.90,0.72,40,160.21,10,2,14,10
ma_trader11,10.00,10,0.89,0.07,0.83,2,8.80,8,11,8,23
trader43,10.00,10,0.79,0.94,6.30,0,6.30,56,76,46,54
trader42,10.00,10,0.98,0.19,1.51,2,9.49,400,405,404,615
trader45,10.00,10,0.47,0.87,3.02,1,7.01,72,78,67,89
trader44,10.00,10,0.81,0.42,3.53,1,7.52,339,361,333,495
trader41,10.00,10,0.83,0.05,3.60,8,35.49,170,111,213,284
trader40,10.00,10,0.69,0.01,1.66,15,61.47,44,19,60,81
ma_trader49,10.00,10,0.08,0.02,0.31,14,56.14,7,1,8,6
ma_trader47,10.00,10,0.44,0.58,0.72,13,52.56,8,0,8,8
ma_trader48,10.00,10,0.82,0.05,0.46,11,44.32,3,0,7,15
ma_trader45,10.00,10,0.05,0.61,0.54,46,183.96,7,4,18,9
ma_trader46,10.00,10,0.79,0.72,1.72,21,85.45,7,1,10,20
ma_trader43,10.00,10,0.10,0.05,1.32,18,73.10,11,6,11,26
ma_trader44,10.00,10,0.63,0.38,0.22,16,64.02,9,3,8,5
trader21,10.00,10,0.04,0.06,0.61,12,48.46,5,6,10,11
ma_trader41,10.00,10,0.84,0.51,0.68,6,24.61,7,14,7,8
trader20,10.00,10,0.04,0.54,64.13,3,76.09,90,48,57,36
ma_trader42,10.00,10,0.66,0.05,0.85,5,20.79,4,3,7,18
trader23,10.00,10,0.29,0.88,20.43,0,20.43,63,72,46,72
trader22,10.00,10,0.60,0.57,5.77,0,5.77,312,298,273,304
ma_trader40,10.00,10,0.60,0.54,0.99,8,32.89,6,13,11,23
trader29,10.00,10,0.73,0.78,8.92,0,8.92,201,198,184,251
trader28,10.00,10,0.21,0.69,9.26,0,9.26,105,78,89,121
trader25,10.00,10,0.56,0.86,9.81,0,9.81,129,95,109,111
trader24,10.00,10,0.08,0.23,18.68,6,42.61,67,51,77,84
trader27,10.00,10,0.59,0.32,76.79,1,80.77,658,470,631,676
trader26,10.00,10,0.02,0.32,19.48,5,39.42,29,19,24,24
ma_trader5,10.00,10,0.64,0.97,0.36,14,56.19,5,0,8,9
ma_trader6,10.00,10,0.36,0.83,1.47,39,156.98,9,11,15,21
ma_trader7,10.00,10,0.91,0.55,1.83,2,9.81,4,13,5,25
ma_trader8,10.00,10,0.03,0.71,0.60,13,52.43,8,2,10,7
ma_trader1,10.00,10,0.23,0.23,1.38,26,105.05,2,16,8,14
ma_trader2,10.00,10,0.83,0.15,1.07,3,13.03,3,3,6,29
ma_trader3,10.00,10,0.18,0.27,0.58,2,8.56,8,9,6,10
ma_trader4,10.00,10,0.50,0.09,0.90,43,172.36,7,1,16,7
ma_trader54,10.00,10,0.53,0.30,0.99,6,24.91,5,11,10,18
ma_trader55,10.00,10,0.19,0.41,0.94,4,16.89,6,21,9,16
trader32,10.00,10,0.48,0.87,18.65,0,18.65,132,115,106,102
ma_trader52,10.00,10,0.98,0.14,1.08,4,17.02,5,11,9,36
ma_trader53,10.00,10,0.18,0.67,0.50,17,68.29,8,4,12,23
trader31,10.00,10,0.53,0.12,1.79,7,29.70,231,159,258,319
trader34,10.00,10,0.53,0.96,21.62,0,21.62,47,50,28,39
ma_trader50,10.00,10,0.94,0.12,0.38,9,36.27,7,13,8,29
ma_trader51,10.00,10,0.83,0.41,0.90,3,12.86,5,11,6,24
trader33,10.00,10,0.81,0.13,3.90,0,3.90,263,254,286,378
trader30,10.00,10,0.25,0.90,21.72,0,21.72,44,43,29,60
trader39,10.00,10,0.26,0.30,29.35,0,29.35,214,145,213,253
trader36,10.00,10,0.80,0.48,11.59,1,15.58,565,555,517,587
trader35,10.00,10,0.15,0.97,22.90,2,30.88,10,8,7,5
trader38,10.00,10,0.59,0.16,4.29,0,4.29,132,138,143,276
trader37,10.00,10,0.16,0.31,46.47,10,86.35,212,140,208,181
ma_trader27,10.00,10,0.83,0.75,0.36,8,32.25,8,16,10,12
ma_trader28,10.00,10,0.79,0.94,0.22,3,12.18,5,7,7,19
ma_trader25,10.00,10,0.17,0.56,1.95,24,97.65,9,16,11,28
ma_trader26,10.00,10,0.34,0.05,1.72,2,9.70,6,2,5,38
ma_trader23,10.00,10,0.78,0.30,0.76,13,52.60,4,1,7,9
